model,recall,f2,f1,pr_auc,roc_auc,precision,accuracy,features,best_params,cv_best_score,conf_matrix,search_time
Logistic Regression (Minimal Base),0.9441860465116279,0.8011953089760938,0.6528830691477142,0.44075874654206126,0.8829557550938624,0.49894662921348315,0.8308518974588605,6,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__penalty': 'l2', 'model__solver': 'liblinear'}",0.944186046511628,"[[6001, 1427], [84, 1421]]",0.41997361183166504
Logistic Regression (Minimal Interaction),0.9408637873754153,0.7946127946127947,0.6443686006825939,0.4288052958780435,0.8771671166118323,0.48996539792387545,0.8250307847307735,6,"{'model__C': 10.0, 'model__class_weight': 'balanced', 'model__penalty': 'l1', 'model__solver': 'liblinear'}",0.9408637873754152,"[[5954, 1474], [89, 1416]]",0.6645500659942627
Logistic Regression (Minimal Binned),0.878405315614618,0.7703064910849552,0.6502705361534679,0.6062134254930328,0.9208270493079074,0.516204607575166,0.8408149557819322,9,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__penalty': 'l1', 'model__solver': 'liblinear'}",0.8784053156146179,"[[6189, 1239], [183, 1322]]",0.8102548122406006
